asset,png_w,png_h,bottom_px,bottom_pct,top_px,left_px,right_px,template_id,placed
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,171,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,172,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,173,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,283,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,295,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,304,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,312,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,49,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,9,0
Buildings/others/guillotina,1024,1024,94,9.2,81,232,232,124,0
Buildings/others/guillotina,1024,1024,94,9.2,81,232,232,150,0
Buildings/others/guillotina,1024,1024,94,9.2,81,232,232,233,0
Buildings/others/guillotina,1024,1024,94,9.2,81,232,232,244,0
Buildings/shops/shop_alchemist_house,1024,1536,127,8.3,19,32,43,129,0
Buildings/shops/shop_alchemist_house,1024,1536,127,8.3,19,32,43,260,0
Buildings/shops/alchemy_tower,1024,1536,119,7.7,20,25,32,15,1
Buildings/vegetation/tree_azul,1024,1024,78,7.6,67,113,106,143,0
Buildings/portals/portal_well_closed,1024,1024,74,7.2,54,74,116,195,0
Buildings/vegetation/tree_6,540,540,39,7.2,39,81,75,27,1
Buildings/vegetation/tree_6,540,540,39,7.2,39,81,75,28,1
Buildings/vegetation/tree_6,540,540,39,7.2,39,81,75,29,1
Buildings/vegetation/tree_6,540,540,39,7.2,39,81,75,311,1
Buildings/houses/curse_house_topdown,1024,1024,73,7.1,48,74,90,194,1
Buildings/houses/curse_house_topdown,1024,1024,73,7.1,48,74,90,221,1
Buildings/houses/curse_house_topdown,1024,1024,73,7.1,48,74,90,307,1
Buildings/gardens/garden_tree_plaza,1024,1024,72,7.0,69,64,59,177,0
Buildings/gardens/garden_tree_plaza,1024,1024,72,7.0,69,64,59,178,0
Buildings/gardens/garden_tree_plaza,1024,1024,72,7.0,69,64,59,188,0
Buildings/houses/curse_house_iso,1024,1024,72,7.0,68,59,56,193,1
Buildings/houses/curse_house_iso,1024,1024,72,7.0,68,59,56,200,1
Buildings/houses/curse_house_iso,1024,1024,72,7.0,68,59,56,201,1
Buildings/gardens/garden_tree_plaza,1024,1024,72,7.0,69,64,59,309,0
Buildings/gardens/garden_1,1024,1024,71,6.9,16,0,6,120,0
Buildings/totems/totem_destruido,1024,1536,89,5.8,80,184,156,138,1
Buildings/totems/totem_destruido,1024,1536,89,5.8,80,184,156,158,1
Buildings/totems/totem_sufriendo,1024,1536,88,5.7,24,181,175,140,0
Buildings/totems/totem_sufriendo,1024,1536,88,5.7,24,181,175,174,0
Buildings/shops/healer,1024,1024,54,5.3,50,72,71,17,1
Buildings/shops/healer,1024,1024,54,5.3,50,72,71,202,1
Buildings/shops/healer,1024,1024,54,5.3,50,72,71,270,1
Buildings/gardens/flowers_7,904,904,47,5.2,11,20,23,118,0
Buildings/statues/statue_olim_01,1024,1024,53,5.2,17,232,247,13,1
Buildings/gardens/flowers_7,904,904,47,5.2,11,20,23,180,0
Buildings/statues/statue_olim_01,1024,1024,53,5.2,17,232,247,239,1
Buildings/statues/statue_olim_01,1024,1024,53,5.2,17,232,247,310,1
Buildings/shops/ukranian_super_1,1024,1024,48,4.7,16,24,40,189,1
Buildings/shops/ukranian_super_1,1024,1024,48,4.7,16,24,40,191,1
Buildings/portals/portal_stone_arch,1024,1024,48,4.7,56,163,164,197,1
Buildings/portals/portal_stone_arch,1024,1024,48,4.7,56,163,164,198,1
Buildings/portals/portal_stone_arch,1024,1024,48,4.7,56,163,164,219,1
Buildings/shops/ukranian_super_1,1024,1024,48,4.7,16,24,40,235,1
Buildings/portals/portal_stone_arch,1024,1024,48,4.7,56,163,164,248,1
Buildings/portals/portal_stone_arch,1024,1024,48,4.7,56,163,164,249,1
Buildings/shops/ukranian_super_1,1024,1024,48,4.7,16,24,40,271,1
Buildings/shops/ukranian_super_1,1024,1024,48,4.7,16,24,40,272,1
Buildings/shops/jewlery_shop,1024,1024,47,4.6,24,2,10,19,1
Buildings/shops/jewlery_shop,1024,1024,47,4.6,24,2,10,216,1
Buildings/gardens/garden_4,1024,1024,47,4.6,54,38,38,23,0
Buildings/shops/jewlery_shop,1024,1024,47,4.6,24,2,10,238,1
Buildings/shops/banco,1024,1536,69,4.5,38,27,26,20,1
Buildings/temples/catholic,1024,1536,63,4.1,67,19,21,1,1
Buildings/temples/catholic,1024,1536,63,4.1,67,19,21,261,1
Buildings/temples/catholic,1024,1536,63,4.1,67,19,21,308,1
Buildings/statues/statue_dwarf_warrior,1024,1024,41,4.0,31,203,207,132,0
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,162,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,185,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,186,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,187,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,2,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,212,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,213,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,242,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,257,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,266,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,267,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,268,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,276,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,277,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,278,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,279,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,280,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,281,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,287,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,306,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,32,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,34,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,35,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,36,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,37,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,38,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,39,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,40,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,41,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,42,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,43,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,44,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,45,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,51,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,52,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,55,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,56,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,58,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,59,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,65,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,66,1
Buildings/vegetation/tree_1,456,626,25,4.0,14,0,3,67,1
Buildings/gardens/garden_5,1024,1024,39,3.8,73,48,44,10,1
Buildings/totems/totem_cargando_energia,1024,1536,59,3.8,24,179,175,137,1
Buildings/totems/totem_cargando_energia,1024,1536,59,3.8,24,179,175,155,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,255,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,292,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,294,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,300,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,303,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,46,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,47,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,48,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,53,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,57,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,60,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,63,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,79,1
Buildings/vegetation/tree_10,251,324,12,3.7,20,5,5,8,1
Buildings/shops/healer_1,1024,1024,37,3.6,16,91,125,16,1
Buildings/shops/healer_1,1024,1024,37,3.6,16,91,125,218,1
Buildings/shops/healer_1,1024,1024,37,3.6,16,91,125,234,1
Buildings/vegetation/tree_7,227,309,11,3.6,3,5,5,274,0
Buildings/vegetation/tree_7,227,309,11,3.6,3,5,5,33,0
Buildings/vegetation/tree_7,227,309,11,3.6,3,5,5,5,0
Buildings/gardens/flowers_8,444,174,6,3.4,10,4,5,119,0
Buildings/vegetation/tree_9,251,324,10,3.1,8,6,3,241,0
Buildings/vegetation/tree_9,251,324,10,3.1,8,6,3,269,0
Buildings/vegetation/tree_9,251,324,10,3.1,8,6,3,31,0
Buildings/vegetation/tree_9,251,324,10,3.1,8,6,3,69,0
Buildings/vegetation/tree_9,251,324,10,3.1,8,6,3,7,0
Buildings/vegetation/tree_8,251,308,9,2.9,25,5,8,147,0
Buildings/vegetation/tree_8,251,308,9,2.9,25,5,8,240,0
Buildings/vegetation/tree_8,251,308,9,2.9,25,5,8,6,0
Buildings/vegetation/tree_8,251,308,9,2.9,25,5,8,64,0
Buildings/gardens/flowers_2,412,412,11,2.7,9,22,5,113,0
Buildings/totems/totem_forest,1024,1536,42,2.7,41,160,168,154,1
Buildings/totems/totem_forest,1024,1536,42,2.7,41,160,168,156,1
Buildings/totems/totem_forest,1024,1536,42,2.7,41,160,168,157,1
Buildings/gardens/flowers_2,412,412,11,2.7,9,22,5,182,0
Buildings/totems/totem_forest,1024,1536,42,2.7,41,160,168,90,1
Buildings/market/cart_bakery_bread,104,80,2,2.5,0,0,0,357,0
Buildings/gardens/flowers_1,412,169,4,2.4,4,4,4,25,0
Buildings/gardens/flowers_1,412,169,4,2.4,4,4,4,26,0
Buildings/market/crate_eggplants_purple,55,42,1,2.4,0,1,0,365,0
Buildings/gardens/flowers_6,904,904,20,2.2,23,11,47,117,0
Buildings/gardens/flowers_6,904,904,20,2.2,23,11,47,179,0
Buildings/castles/castle_1,1536,1024,19,1.9,5,126,299,203,0
Buildings/castles/castle_1,1536,1024,19,1.9,5,126,299,93,0
Buildings/totems/totem_riendo,1024,1536,27,1.8,61,172,176,139,0
Buildings/totems/totem_riendo,1024,1536,27,1.8,61,172,176,159,0
Buildings/signs/sign_alchemist_blue_flask,82,112,2,1.8,0,0,0,485,0
Buildings/houses/orden_house_2,1024,1024,17,1.7,0,0,0,222,1
Buildings/houses/orden_house_2,1024,1024,17,1.7,0,0,0,236,1
Buildings/houses/orden_house_2,1024,1024,17,1.7,0,0,0,237,1
Buildings/houses/orden_house_2,1024,1024,17,1.7,0,0,0,24,1
Buildings/temples/satanist,1024,1024,16,1.6,27,19,21,12,1
Buildings/props/net_drying_stand,93,64,1,1.6,0,0,0,1456,0
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,160,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,161,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,163,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,176,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,258,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,262,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,263,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,273,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,275,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,282,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,284,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,286,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,288,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,291,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,293,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,296,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,297,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,298,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,299,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,30,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,302,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,305,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,313,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,4,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,54,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,61,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,62,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,70,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,71,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,72,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,73,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,74,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,75,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,76,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,77,1
Buildings/vegetation/tree_3,490,627,9,1.4,17,11,5,78,1
Buildings/gardens/flowers_5,904,904,11,1.2,47,23,20,116,0
Buildings/gardens/flowers_5,904,904,11,1.2,47,23,20,181,0
Buildings/gardens/flowers_5,904,904,11,1.2,47,23,20,184,0
Buildings/castles/castle_2,1024,1024,10,1.0,0,34,35,11,1
Buildings/vegetation/tree_4,96,192,2,1.0,11,6,9,141,0
Buildings/vegetation/tree_4,96,192,2,1.0,11,6,9,152,0
Buildings/gardens/flowers_9,169,412,4,1.0,4,4,4,183,1
Buildings/castles/castle_2,1024,1024,10,1.0,0,34,35,204,1
Buildings/gardens/flowers_9,169,412,4,1.0,4,4,4,21,1
Buildings/gardens/flowers_9,169,412,4,1.0,4,4,4,22,1
Buildings/nature/tree_cherry_blossom_small,73,102,1,1.0,0,0,0,841,0
Buildings/nature/tree_enchanted_pixel_4,150,224,2,0.9,0,0,0,1124,0
Buildings/gardens/flowers_4,174,444,4,0.9,5,10,6,115,0
Buildings/nature/tree_tropical_pixel_1,123,224,2,0.9,0,0,0,1297,1
Buildings/shops/magic_tower,1024,1536,14,0.9,0,25,32,14,1
Buildings/signs/signpost_arrows_lantern,71,115,1,0.9,1,0,0,504,0
Buildings/others/fuente,1024,1024,8,0.8,16,32,32,123,1
Buildings/shops/shop_apothecary,1024,1024,8,0.8,0,66,64,130,0
Buildings/others/fuente,1024,1024,8,0.8,16,32,32,149,1
Buildings/shops/shop_apothecary,1024,1024,8,0.8,0,66,64,151,0
Buildings/gardens/flowers_3,462,451,3,0.7,4,3,2,114,0
Buildings/houses/building_bank_tall,242,211,1,0.5,0,0,0,763,0
Buildings/nature/tree_corrupted_fantasy_alt_2,149,224,1,0.4,0,0,0,1073,0
Buildings/nature/tree_snowy_pixel_7,161,224,1,0.4,0,0,0,1255,0
Buildings/nature/tree_winter_1,195,256,1,0.4,0,0,0,1361,0
Buildings/nature/tree_snowy_conifer_5,161,288,1,0.3,0,0,0,1245,0
Buildings/nature/tree_snowy_conifer_8,200,288,1,0.3,0,0,0,1248,0
Buildings/nature/tree_pine_conifer,204,304,1,0.3,0,0,0,437,1
